transport,direction,workload,run,ms,status
rclone_webdav,push,large,1,20,1
rclone_webdav,pull,large,1,18,1
rclone_webdav,push,large,2,18,1
rclone_webdav,pull,large,2,17,1
rclone_webdav,push,small,1,18,1
rclone_webdav,pull,small,1,17,1
rclone_webdav,push,small,2,18,1
rclone_webdav,pull,small,2,18,1
rclone_webdav,push,mixed,1,18,1
rclone_webdav,pull,mixed,1,18,1
rclone_webdav,push,mixed,2,18,1
rclone_webdav,pull,mixed,2,17,1
rclone_sftp_nohash,push,small,1,5218,0
rclone_sftp_nohash,pull,small,1,2742,0
rclone_local_nohash,local,large,1,227,0
rclone_local_nohash,local,small,1,136,0
rclone_local_nohash,local,mixed,1,127,0
