test,avg_ms,best_ms
local_large_copy,157,153
local_large_noop,3,3
local_small_copy,84,83
local_small_noop,38,3
local_mixed_copy,123,120
local_mixed_noop,20,3
push_tcp_large,907,894
push_tcp_small,2289,2186
push_tcp_mixed,1559,1463
push_grpc_large,1070,995
push_grpc_small,2396,2266
push_grpc_mixed,1331,1078
pull_tcp_large,904,881
pull_tcp_small,433,425
pull_tcp_mixed,606,587
pull_grpc_large,880,877
pull_grpc_small,568,525
pull_grpc_mixed,721,674
rsync_large,359,318
rsync_large_noop,42,42
rsync_small,94,89
rsync_small_noop,58,57
rsync_mixed,197,194
rsync_mixed_noop,49,49
