cell,pairs_attempted,complete
push_tcp_large,4,yes
pull_tcp_large,4,yes
push_grpc_large,4,yes
pull_grpc_large,4,yes
push_tcp_small,4,yes
pull_tcp_small,4,yes
push_grpc_small,4,yes
pull_grpc_small,4,yes
push_tcp_mixed,4,yes
pull_tcp_mixed,4,yes
push_grpc_mixed,5,yes
pull_grpc_mixed,4,yes
mw_tcp_large,5,yes
wm_tcp_large,4,yes
mw_grpc_large,4,yes
wm_grpc_large,4,yes
mw_tcp_small,4,yes
wm_tcp_small,5,yes
mw_grpc_small,4,yes
wm_grpc_small,4,yes
mw_tcp_mixed,4,yes
wm_tcp_mixed,4,yes
mw_grpc_mixed,4,yes
wm_grpc_mixed,4,yes
