cell,run,ms
push_tcp_large,1,2731
push_tcp_large,2,3908
push_tcp_large,3,11114
push_tcp_large,4,13410
push_grpc_large,1,9382
push_grpc_large,2,15510
push_grpc_large,3,8015
push_grpc_large,4,8182
pull_tcp_large,1,1824
pull_tcp_large,2,1793
pull_tcp_large,3,1609
pull_tcp_large,4,1666
pull_grpc_large,1,2529
pull_grpc_large,2,2451
pull_grpc_large,3,2704
pull_grpc_large,4,2748
push_tcp_small,1,3722
push_tcp_small,2,4920
push_tcp_small,3,3939
push_tcp_small,4,3946
push_grpc_small,1,5662
push_grpc_small,2,5724
push_grpc_small,3,14970
push_grpc_small,4,15817
pull_tcp_small,1,2727
pull_tcp_small,2,2587
pull_tcp_small,3,2488
pull_tcp_small,4,2949
pull_grpc_small,1,4199
pull_grpc_small,2,4026
pull_grpc_small,3,4080
pull_grpc_small,4,4147
push_tcp_mixed,1,4287
push_tcp_mixed,2,5715
push_tcp_mixed,3,14904
push_tcp_mixed,4,10297
push_grpc_mixed,1,17139
push_grpc_mixed,2,19606
push_grpc_mixed,3,13611
push_grpc_mixed,4,17296
pull_tcp_mixed,1,1407
pull_tcp_mixed,2,1510
pull_tcp_mixed,3,1409
pull_tcp_mixed,4,1419
pull_grpc_mixed,1,2260
pull_grpc_mixed,2,2255
pull_grpc_mixed,3,2153
pull_grpc_mixed,4,2930
